premise;hypothesis;label
འདི་ནི་ཚད་ལྡན་གནས་ནས་ཕར་འགྱངས་ཙམ་ཞིག་ཡིན། སྟབས་བདེ་བའི་ཡོ་བྱད་ཞིག་སྟེ་ mica flake འདི་འདར་བར་བཟོས་ཏེ་འཕྲུལ་ཆས་ཀྱི་ལས་ཀ་བྱེད་དུ་འཇུག་པ་ཡིན། ;ཚད་གཞི་ནས་གང་ཞིག་ཕྱིར་འཐེན་བྱས་ཡོད། ;0
འདི་ནི་ཚད་ལྡན་གནས་ནས་ཕར་འགྱངས་ཙམ་ཞིག་ཡིན། སྟབས་བདེ་བའི་ཡོ་བྱད་ཞིག་སྟེ་ mica flake འདི་འདར་བར་བཟོས་ཏེ་འཕྲུལ་ཆས་ཀྱི་ལས་ཀ་བྱེད་དུ་འཇུག་པ་ཡིན། ;ཕྲ་དཀར་གྱི་རྡུལ་ཕྲན་ནི་དངོས་གཞི་རྙོག་ཟིང་ཅན་ཞིག་ཡིན། ;2
འདི་ནི་ཚད་ལྡན་གནས་ནས་ཕར་འགྱངས་ཙམ་ཞིག་ཡིན། སྟབས་བདེ་བའི་ཡོ་བྱད་ཞིག་སྟེ་ mica flake འདི་འདར་བར་བཟོས་ཏེ་འཕྲུལ་ཆས་ཀྱི་ལས་ཀ་བྱེད་དུ་འཇུག་པ་ཡིན། ;ཕྱིར་འབུད་ཀྱི་ཚད་ནི་གལ་ཆེ་བ་རེད། ;1
བསླབ་ཞིབ་པ་རྣམས་ཀྱི་དྲི་བ་ལ་ལན་འདེབས་བྱེད་སྐབས་ འཕྲལ་འཕྲལ་ཁོང་ཚོས་ཕྲུ་གུ་ཚོ་ཟླ་བ་འགའ་ཤས་སྔོན་ནས་རང་སྐྱོང་ཐུབ་པའི་སྦྱོང་བརྡར་སྤྲོད་དགོས་ཟེར་བ་བརྗོད་ཀྱི་འདུག ;ཕྲུ་གུ་ཚོས་རང་ཉིད་འཚོ་དགོས་ཀྱི་འདུག་ཅེས་བརྗོད་ཀྱི་ཡོད། ;1
བསླབ་ཞིབ་པ་རྣམས་ཀྱི་དྲི་བ་ལ་ལན་འདེབས་བྱེད་སྐབས་ འཕྲལ་འཕྲལ་ཁོང་ཚོས་ཕྲུ་གུ་ཚོ་ཟླ་བ་འགའ་ཤས་སྔོན་ནས་རང་སྐྱོང་ཐུབ་པའི་སྦྱོང་བརྡར་སྤྲོད་དགོས་ཟེར་བ་བརྗོད་ཀྱི་འདུག ;ཨ་ལོ་ཚོས་རང་དབང་ཡོད་དགོས་ཞེས་བརྗོད་ཀྱི་ཡོད། ;0
བསླབ་ཞིབ་པ་རྣམས་ཀྱི་དྲི་བ་ལ་ལན་འདེབས་བྱེད་སྐབས་ འཕྲལ་འཕྲལ་ཁོང་ཚོས་ཕྲུ་གུ་ཚོ་ཟླ་བ་འགའ་ཤས་སྔོན་ནས་རང་སྐྱོང་ཐུབ་པའི་སྦྱོང་བརྡར་སྤྲོད་དགོས་ཟེར་བ་བརྗོད་ཀྱི་འདུག ;ཨ་ལོ་ལོ་ལོ་ཉེར་གཅིག་ལོན་པའི་བར་དུ་ཨ་མའི་འཚོ་སྐྱོང་འོག་གནས་དགོས་ཀྱི་འདུག་ཟེར། ;2
དངོས་ཡོད་ཀྱི་འཇིག་རྟེན་དུ་རིན་ཐང་གི་གནས་གང་ན་ཡོད། ;འཛམ་གླིང་གི་གནས་སྟངས་ནི་དངོས་ཡོད་ཀྱི་ཐོག་ནས་ཐག་གཅོད་བྱེད་པ་ཡིན། ;0
དངོས་ཡོད་ཀྱི་འཇིག་རྟེན་དུ་རིན་ཐང་གི་གནས་གང་ན་ཡོད། ;དོན་དངོས་ལ་འབྲེལ་བ་མེད། ;2
དངོས་ཡོད་ཀྱི་འཇིག་རྟེན་དུ་རིན་ཐང་གི་གནས་གང་ན་ཡོད། ;ང་ཚོས་དངོས་གནས་ལས་གཞན་གང་ཞིག་ངོས་ལེན་བྱ་རྒྱུ་ཁས་མི་ལེན་པ་རེད། ;1
སྤྱི་ལོ་༡༨༦༨ ལོར་བཅའ་ཁྲིམས་ཐེངས་བཅུ་བཞི་པ་གཏན་འབེབས་བྱས་སྐབས་ང་ཚོ་ཁྲིམས་ལུགས་ཀྱི་འགྱུར་བའི་སྒང་དུ་ལངས་ཡོད། ;བཅུ་བཞི་པ་བསྐྱར་བཅོས་གྲོས་ཆོད་འདི་གྲོས་མོལ་ཡུན་རིང་གི་རྗེས་སུ། ཚོགས་རྒྱན་གཉིས་ལས་མེད་ཀྱིས་བསྐྱར་བཅོས་བྱས་པ་ཡིན། ;1
སྤྱི་ལོ་༡༨༦༨ ལོར་བཅའ་ཁྲིམས་ཐེངས་བཅུ་བཞི་པ་གཏན་འབེབས་བྱས་སྐབས་ང་ཚོ་ཁྲིམས་ལུགས་ཀྱི་འགྱུར་བའི་སྒང་དུ་ལངས་ཡོད། ;སྐབས་བཅུ་བཞི་པ་བསྐྱར་བཅོས་འདི་ནི་སྤྱི་ལོ་༡༨༦༨ ལོར་གཏན་འབེབས་བྱས་པ་ཡིན། ;0
སྤྱི་ལོ་༡༨༦༨ ལོར་བཅའ་ཁྲིམས་ཐེངས་བཅུ་བཞི་པ་གཏན་འབེབས་བྱས་སྐབས་ང་ཚོ་ཁྲིམས་ལུགས་ཀྱི་འགྱུར་བའི་སྒང་དུ་ལངས་ཡོད། ;སྤྱི་ཚོགས་ནང་རྩ་ཁྲིམས་གཏན་ནས་བརྟན་པོ་ཡོད་པ་མ་ཟད། དཀའ་རྙོག་ཆེན་པོ་ཞིག་ནམ་ཡང་མ་བྱུང་ངོ་། ;2
ཕྱོགས་མཚུངས་ཀྱི་ཁྱད་ཆོས་དེ་དཔལ་འབྱོར་ཡོངས་ལ་ཡང་བྱུང་སྲིད་པ་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་ ;འདྲ་བའི་ཁྱད་ཆོས་ལ་ཨང་ཆུང་གི་དཔལ་འབྱོར་ནང་གནས་ས་མེད་པ་དེ་ངོ་མཚར་བ་མེད། ;2
ཕྱོགས་མཚུངས་ཀྱི་ཁྱད་ཆོས་དེ་དཔལ་འབྱོར་ཡོངས་ལ་ཡང་བྱུང་སྲིད་པ་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་ ;ཕྱོགས་མཚུངས་ཀྱི་ལས་རིམ་དེ་དཔལ་འབྱོར་ཡོངས་ཀྱི་ནང་དུའང་ བྱུང་སྲིད་པ་ངེས་ཅན་རེད། ;0
ཕྱོགས་མཚུངས་ཀྱི་ཁྱད་ཆོས་དེ་དཔལ་འབྱོར་ཡོངས་ལ་ཡང་བྱུང་སྲིད་པ་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་ ;ལ་ལས་འདི་འདྲ་ཞིག་ཨང་ཀིའི་དཔལ་འབྱོར་གྱི་ལས་སྡེ་ནང་ཡང་བྱུང་སྲིད་པ་དགག་པོ་འདུག ;1
ཁོང་ཚོ་ནི་ཏེའོ་ཏི་ཧཱ་ཀན་ (Teotihuacan) གྱི་པི་རཱ་མི་ཌི་ཉེ་འགྲམ་དུ་ཡོད་པའི་ སན་ཨོ་གྷོ་སི་ཊིན་ཨ་ཀོལ་མན་གྱི་གྲོང་ཆུང་ཞིག་ནས་ཡོང་བ་རེད། ;སན་ཨོ་གྷོ་སི་ཊིན་ཨཱ་ཀོལ་མན་ (San Augustin Acolman) ནི་མི་གྲངས་ ༡༠༠༠ ལས་ཉུང་བ་ཞིག་རེད། ;1
ཁོང་ཚོ་ནི་ཏེའོ་ཏི་ཧཱ་ཀན་ (Teotihuacan) གྱི་པི་རཱ་མི་ཌི་ཉེ་འགྲམ་དུ་ཡོད་པའི་ སན་ཨོ་གྷོ་སི་ཊིན་ཨ་ཀོལ་མན་གྱི་གྲོང་ཆུང་ཞིག་ནས་ཡོང་བ་རེད། ;སན་ཨོ་གྷོ་སི་ཊིན་ཨཱ་ཀོལ་མན་ནི་ཨིང་ལིང་གི་གྲོང་ཁྱེར་ཆེན་པོ་ཞིག་རེད། ;2
ཁོང་ཚོ་ནི་ཏེའོ་ཏི་ཧཱ་ཀན་ (Teotihuacan) གྱི་པི་རཱ་མི་ཌི་ཉེ་འགྲམ་དུ་ཡོད་པའི་ སན་ཨོ་གྷོ་སི་ཊིན་ཨ་ཀོལ་མན་གྱི་གྲོང་ཆུང་ཞིག་ནས་ཡོང་བ་རེད། ;སན་ཨོ་གྷོ་སི་ཊིན་ཨ་ཀོལ་མན་ནི་ཏེའོ་ཏི་ཧཱ་ཀན་ཉེ་འགྲམ་གྱི་གྲོང་རྡལ་ཞིག་རེད། ;0
དོན་དངོས་ནི་ཁང་པ་གང་ཞིག་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་ ;ཁང་པ་ཞིག་མཛེས་ཤིང་ཕན་ཐོགས་མེད་པ་ཞིག་ཀྱང་ཡོད། ;2
དོན་དངོས་ནི་ཁང་པ་གང་ཞིག་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་ ;ཁང་པ་ཞིག་ཕན་ཐོགས་མེད་ན་མཛེས་པོ་མི་འདུག ;0
དོན་དངོས་ནི་ཁང་པ་གང་ཞིག་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་ ;སྐྱོན་ཅན་རྣམས་འཛུལ་མི་ཐུབ་ན་ཁང་པ་མཛེས་པོ་མི་འདུག ;1
ངས་བརྗོད་འདོད་དོན་ནི་སྤྱི་ཚོགས་དེའི་ནང་ཡོད་པའི་རང་སྐྱོང་ཅན་གྱི་ལས་བྱེད་རྣམས་སོ་སོར་དང་མཉམ་ནས་ རང་བཞིན་གྱི་རྩེད་རིགས་ཀྱི་ནང་འཚོ་བ་སྐྱེལ་ཐབས་ཀྱི་ཤེས་ཡོན་ལ་བརྟེན་ཡོད། ;སྤྱི་ཚོགས་ཀྱི་ལས་བྱེད་རྣམས་འཚོ་བ་རོལ་ཐུབ་ཀྱི་རེད། ;0
ངས་བརྗོད་འདོད་དོན་ནི་སྤྱི་ཚོགས་དེའི་ནང་ཡོད་པའི་རང་སྐྱོང་ཅན་གྱི་ལས་བྱེད་རྣམས་སོ་སོར་དང་མཉམ་ནས་ རང་བཞིན་གྱི་རྩེད་རིགས་ཀྱི་ནང་འཚོ་བ་སྐྱེལ་ཐབས་ཀྱི་ཤེས་ཡོན་ལ་བརྟེན་ཡོད། ;ལས་བྱེད་པས་སྒོར་ ༨༠,༠༠༠ བཟོས་པ་རེད། ;1
ངས་བརྗོད་འདོད་དོན་ནི་སྤྱི་ཚོགས་དེའི་ནང་ཡོད་པའི་རང་སྐྱོང་ཅན་གྱི་ལས་བྱེད་རྣམས་སོ་སོར་དང་མཉམ་ནས་ རང་བཞིན་གྱི་རྩེད་རིགས་ཀྱི་ནང་འཚོ་བ་སྐྱེལ་ཐབས་ཀྱི་ཤེས་ཡོན་ལ་བརྟེན་ཡོད། ;ལས་འཛིན་པས་གླ་དངུལ་སྤྲོད་མ་ཐུབ་པ་རེད། ;2
མང་ཤོས་ར་ caada de mollera གྱི་ནད་བཅོས་མཁན་ནི་སྨན་བཅོས་པ་གཅིག་པུ་ཡིན། ;ཀུ་ར་ན་ཌར་ (curanderas) གྱིས་དྲོད་འབར་ལ་ཡང་དྲག་གསོ་ཐུབ། ;1
མང་ཤོས་ར་ caada de mollera གྱི་ནད་བཅོས་མཁན་ནི་སྨན་བཅོས་པ་གཅིག་པུ་ཡིན། ;ཀུ་ར་ཌེ་རཱ་ནི་སིར་ཀུའི་དགེ་སློང་རྣམས་ཡིན། ;2
མང་ཤོས་ར་ caada de mollera གྱི་ནད་བཅོས་མཁན་ནི་སྨན་བཅོས་པ་གཅིག་པུ་ཡིན། ;ཏོག་དབྱིབས་ནད་རིགས་ལ་སྨན་སྣ་མང་ཞིག་ཡིན། ;0
མེག་སི་ཀོའི་དམངས་ཁྲོད་གླུ་གཞས་ཀྱི་ནང་། la cancien ranchera ནི་གཞས་ཤིག་རེད། དེ་ནི་མིས་གཞས་བཏང་བ་རེད། ;La cancien rancheras ནི་ མེཀ་སི་ཀོའི་གྲོང་གསེབ་ཀྱི་ཞིང་པ་ཚོས་བརྩེ་བ་གླུ་ཞིག་ལེན་པའི་གླུ་ཞིག ;0
མེག་སི་ཀོའི་དམངས་ཁྲོད་གླུ་གཞས་ཀྱི་ནང་། la cancien ranchera ནི་གཞས་ཤིག་རེད། དེ་ནི་མིས་གཞས་བཏང་བ་རེད། ;La cancien rancheras ནི་བུད་མེད་ཚོས་མང་ཤོས་གླུ་ལེན་པ་ཡིན། ;1
མེག་སི་ཀོའི་དམངས་ཁྲོད་གླུ་གཞས་ཀྱི་ནང་། la cancien ranchera ནི་གཞས་ཤིག་རེད། དེ་ནི་མིས་གཞས་བཏང་བ་རེད། ;La cancien rancheras ནི་གླུ་གཞས་ཤིག་རེད། གླུ་གཞས་འདི་ནི་སྦལ་པ་འབུ་སྲིན་གྱི་སྐོར་གཅིག་པུ་རེད། ;2
གཉིས་པ་གསལ་པོ་ཡིན་པའི་གནད་དོན་ནི་ ཨོམ་ནེས་ (Omnes) གྱིས་གཏན་ལ་ཕབ་པའི་ལྟ་རྟོག་བྱེད་ནུས་པ་འགའ་ཞིག་མི་མཐོང་བའི་བརྗོད་དོན་ཡིན། ;ཨོམ་ནཱེས་ཁྱེད་རང་ཚོས་གང་ཞིག་མཐོང་ཐུབ་ཀྱི་འདུག་ཅེས་བཤད་ཀྱི་འདུག ;2
གཉིས་པ་གསལ་པོ་ཡིན་པའི་གནད་དོན་ནི་ ཨོམ་ནེས་ (Omnes) གྱིས་གཏན་ལ་ཕབ་པའི་ལྟ་རྟོག་བྱེད་ནུས་པ་འགའ་ཞིག་མི་མཐོང་བའི་བརྗོད་དོན་ཡིན། ;ཨོམ་ནིས་ཁྱེད་རང་ཚོས་སྤྱི་ཚོགས་ནང་འགྱུར་བ་མཐོང་མི་ཐུབ་ཅེས་བཤད་ཀྱི་འདུག ;1
གཉིས་པ་གསལ་པོ་ཡིན་པའི་གནད་དོན་ནི་ ཨོམ་ནེས་ (Omnes) གྱིས་གཏན་ལ་ཕབ་པའི་ལྟ་རྟོག་བྱེད་ནུས་པ་འགའ་ཞིག་མི་མཐོང་བའི་བརྗོད་དོན་ཡིན། ;ཨོམ་ནེས་ (Omnes) ཀྱིས་ཁྱེད་ཚོས་དངོས་པོ་འགའ་ཞིག་མཐོང་མི་ཐུབ་ཅེས་བརྗོད་ཀྱི་འདུག ;0
གསང་བའི་བཅའ་ཁྲིམས་ཀྱིས་ཨ་རིའི་སྲིད་བྱུས་ནང་རང་དབང་བསྐྱར་དུ་སྤེལ་བ་ལྟར། ང་ཚོས་བཅའ་ཁྲིམས་ཐེངས་བཅོ་ལྔ་པའི་ཁས་ལེན་ལ་ཡང་སྙིང་པོ་ལྡན་པ་ཞིག་ངོས་ལེན་བྱ་རྒྱུ་ཡིན། ;སྐབས་ ༡༥ པའི་བསྐྱར་བཅོས་འདི་འཕྲལ་དུ་ཕྱིར་འཐེན་བྱས་ཤིང་གཏན་འབེབས་བྱས་མ་མྱོང་བ་རེད། ;2
གསང་བའི་བཅའ་ཁྲིམས་ཀྱིས་ཨ་རིའི་སྲིད་བྱུས་ནང་རང་དབང་བསྐྱར་དུ་སྤེལ་བ་ལྟར། ང་ཚོས་བཅའ་ཁྲིམས་ཐེངས་བཅོ་ལྔ་པའི་ཁས་ལེན་ལ་ཡང་སྙིང་པོ་ལྡན་པ་ཞིག་ངོས་ལེན་བྱ་རྒྱུ་ཡིན། ;བཅུ་ལྔ་པའི་བསྐྱར་བཅོས། གསང་བའི་བཅའ་ཁྲིམས་ཀྱིས་རང་དབང་བསྐྱར་དུ་བསྟེན་བཞིན་པའི་སྐབས་ལ་ལྷག་ཏུ་བསམ་བློ་གཏོང་གི་ཡོད། ;0
གསང་བའི་བཅའ་ཁྲིམས་ཀྱིས་ཨ་རིའི་སྲིད་བྱུས་ནང་རང་དབང་བསྐྱར་དུ་སྤེལ་བ་ལྟར། ང་ཚོས་བཅའ་ཁྲིམས་ཐེངས་བཅོ་ལྔ་པའི་ཁས་ལེན་ལ་ཡང་སྙིང་པོ་ལྡན་པ་ཞིག་ངོས་ལེན་བྱ་རྒྱུ་ཡིན། ;གསང་བའི་བཅའ་ཁྲིམས་ནི་བཅའ་ཁྲིམས་རྒྱུན་མ་ལྟར་ཡིན་ཡང་། དེ་ནི་སྣག་ཚས་བྲིས་ཡོད། ;1
ཁྱོད་ཀྱིས་གྲངས་རྩིས་མ་བརྒྱབ་བར་དུ་ཁྱོད་ཀྱིས་རྟོགས་མི་ཐུབ། ལེན་ཀོལ་ནོན་གྱི་བསམ་ཚུལ་ལྟར་ན། རྒྱལ་ས་གཞི་བཙུགས་ཀྱི་གལ་གནད་ཆེ་བའི་དུས་སྐབས་ནི་ ༡༧༧༦ ལོར་རང་དབང་གི་གསལ་བསྒྲགས་ལ་ཕྱག་རྟགས་བཀོད་དུས་རེད། ;ལིན་ཀོན་གྱིས་བསམ་ཚུལ་ལྟར་ན། རྒྱལ་ཁམས་འདི་ནི་སྲིད་འཛིན་ཐོག་མ་ཞིག་བཙག་པའི་རྗེས་སུ་དངོས་གནས་གཞི་བཙུགས་བྱས་པ་ཡིན། ;2
ཁྱོད་ཀྱིས་གྲངས་རྩིས་མ་བརྒྱབ་བར་དུ་ཁྱོད་ཀྱིས་རྟོགས་མི་ཐུབ། ལེན་ཀོལ་ནོན་གྱི་བསམ་ཚུལ་ལྟར་ན། རྒྱལ་ས་གཞི་བཙུགས་ཀྱི་གལ་གནད་ཆེ་བའི་དུས་སྐབས་ནི་ ༡༧༧༦ ལོར་རང་དབང་གི་གསལ་བསྒྲགས་ལ་ཕྱག་རྟགས་བཀོད་དུས་རེད། ;ལིན་ཀོན་གྱིས་རང་དབང་གསལ་བསྒྲགས་ལ་མིང་རྟགས་བཀོད་པ་དེ་ནི་གཞི་བཙུགས་ཀྱི་རྟགས་མཚན་ཡིན་པར་བསམ་གྱི་འདུག ;0
ཁྱོད་ཀྱིས་གྲངས་རྩིས་མ་བརྒྱབ་བར་དུ་ཁྱོད་ཀྱིས་རྟོགས་མི་ཐུབ། ལེན་ཀོལ་ནོན་གྱི་བསམ་ཚུལ་ལྟར་ན། རྒྱལ་ས་གཞི་བཙུགས་ཀྱི་གལ་གནད་ཆེ་བའི་དུས་སྐབས་ནི་ ༡༧༧༦ ལོར་རང་དབང་གི་གསལ་བསྒྲགས་ལ་ཕྱག་རྟགས་བཀོད་དུས་རེད། ;ལོ་རྒྱུས་མཁས་པ་མང་པོས་ལིན་ཀོལ་གྱིས་དུས་སྟོན་འདིའི་སྐོར་བཤད་པའི་དོན་ལ་མི་མཐུན་པ་ཡོད། ;1
ཡིན་ན་ཡང་ངས་ཧུཌ་ཀྱི་ཨར་སི་ཨེ་ཨའི་ཁང་དང་གྷརོ་པི་ཨུའི་པན་ཨེམ་ (དེང་སང་མེ་ཊ་ལིཕ་) ཁང་པ་བསྡུར་ན། སུ་ཞིག་ལས་བཟོ་རིག་གི་རྩོམ་རིག་གི་རྩོམ་པ་པོ་ཡིན་པར་ཐེ་ཚོམ་མེད། ;ཧུཌ་ཀྱི་ཨར་སི་ཨེ་ཁང་དུ་རྩོམ་རིག་གི་བཟོ་དབྱིབས་ཅན་ཞིག་ཡོད་འདུག ;1
ཡིན་ན་ཡང་ངས་ཧུཌ་ཀྱི་ཨར་སི་ཨེ་ཨའི་ཁང་དང་གྷརོ་པི་ཨུའི་པན་ཨེམ་ (དེང་སང་མེ་ཊ་ལིཕ་) ཁང་པ་བསྡུར་ན། སུ་ཞིག་ལས་བཟོ་རིག་གི་རྩོམ་རིག་གི་རྩོམ་པ་པོ་ཡིན་པར་ཐེ་ཚོམ་མེད། ;ཧུཌ་ཀྱི་ཨར་སི་ཨེ་ཁང་པ་དེ་གྷརོ་པི་ཨུའི་པན་ཨེམ་ཁང་དང་བསྡུར་ཡོད། ;0
ཡིན་ན་ཡང་ངས་ཧུཌ་ཀྱི་ཨར་སི་ཨེ་ཨའི་ཁང་དང་གྷརོ་པི་ཨུའི་པན་ཨེམ་ (དེང་སང་མེ་ཊ་ལིཕ་) ཁང་པ་བསྡུར་ན། སུ་ཞིག་ལས་བཟོ་རིག་གི་རྩོམ་རིག་གི་རྩོམ་པ་པོ་ཡིན་པར་ཐེ་ཚོམ་མེད། ;ཁང་པ་གཉིས་ཀ་ལ་བཟོ་བ་རིག་རྩལ་ཅན་ཞིག་མེད་ ;2
ལྷོ་ནུབ་ཀྱི་ཡུལ་མི་ཚོས་ད་དུང་ཡང་བརྩམས་པའི་བརྩམས་ཆོས་རྙིང་པ་གཉིས་ནི་ La Delgadina ཟེར་བ་དེ་ནང་འཁྲུག་དང་འབྲེལ་བའི་རྩོམ་ཡིག་ཞིག་ཡིན་པ་དང་། La Aparicien ཟེར་བ་དེ་ནི་དུས་རབས་ ༡༥ པའི་སི་པེན་གྱི་རྩོམ་ཡིག་ཞིག་ཡིན། ;ལ་ཌེལ་གཌི་ན་ (La Delgadina) ནི་ཡོངས་སུ་རླག་སོང་འདུག ;2
ལྷོ་ནུབ་ཀྱི་ཡུལ་མི་ཚོས་ད་དུང་ཡང་བརྩམས་པའི་བརྩམས་ཆོས་རྙིང་པ་གཉིས་ནི་ La Delgadina ཟེར་བ་དེ་ནང་འཁྲུག་དང་འབྲེལ་བའི་རྩོམ་ཡིག་ཞིག་ཡིན་པ་དང་། La Aparicien ཟེར་བ་དེ་ནི་དུས་རབས་ ༡༥ པའི་སི་པེན་གྱི་རྩོམ་ཡིག་ཞིག་ཡིན། ;ལ་ཌེལ་གཌི་ན་ནི་ད་ལྟའང་ནིའུ་མེ་སིག་ཀོ་ནང་ཡོད། ;1
ལྷོ་ནུབ་ཀྱི་ཡུལ་མི་ཚོས་ད་དུང་ཡང་བརྩམས་པའི་བརྩམས་ཆོས་རྙིང་པ་གཉིས་ནི་ La Delgadina ཟེར་བ་དེ་ནང་འཁྲུག་དང་འབྲེལ་བའི་རྩོམ་ཡིག་ཞིག་ཡིན་པ་དང་། La Aparicien ཟེར་བ་དེ་ནི་དུས་རབས་ ༡༥ པའི་སི་པེན་གྱི་རྩོམ་ཡིག་ཞིག་ཡིན། ;ལ་ཌེལ་གཌི་ན་ནི་ལྷོ་ནུབ་ཀྱི་ས་གནས་སུ་ད་དུང་གནས་ཡོད། ;0
ཕྱོགས་གཅིག་ནས་འགྲོ་བ་མིའི་འཚོ་བའི་གནས་སྟངས་དང་འབྲེལ་བའི་ཉེན་ཁ་དང་། ཚོང་གི་དུས་ཡུན་མང་པོ་དང་། ཚོང་གི་ཆ་ཤས་ཁག་ལ་འགྲོ་བ། ཕྱི་རྒྱལ་གྱི་འགྲན་བསྡུར་དྲག་པོ་བཅས་ཀྱིས་ཨ་རིའི་ཚོང་ཁང་དང་བཟོ་གྲྭ་ཁང་ཁག་ལ་དཀའ་ངལ་ཆེན་པོ་བཟོ་བཞིན་ཡོད། ;ཨ་རིའི་ཚོང་ཁང་བརྒྱ་ཆ་ ༩༠ ལ་དངུལ་མེད་སྟབས། ;1
ཕྱོགས་གཅིག་ནས་འགྲོ་བ་མིའི་འཚོ་བའི་གནས་སྟངས་དང་འབྲེལ་བའི་ཉེན་ཁ་དང་། ཚོང་གི་དུས་ཡུན་མང་པོ་དང་། ཚོང་གི་ཆ་ཤས་ཁག་ལ་འགྲོ་བ། ཕྱི་རྒྱལ་གྱི་འགྲན་བསྡུར་དྲག་པོ་བཅས་ཀྱིས་ཨ་རིའི་ཚོང་ཁང་དང་བཟོ་གྲྭ་ཁང་ཁག་ལ་དཀའ་ངལ་ཆེན་པོ་བཟོ་བཞིན་ཡོད། ;ཨ་རིའི་ཚོང་ཁང་རྣམས་ད་ལྟ་ཡར་རྒྱས་ཆེན་པོ་ཕྱིན་ཡོད། ;2
ཕྱོགས་གཅིག་ནས་འགྲོ་བ་མིའི་འཚོ་བའི་གནས་སྟངས་དང་འབྲེལ་བའི་ཉེན་ཁ་དང་། ཚོང་གི་དུས་ཡུན་མང་པོ་དང་། ཚོང་གི་ཆ་ཤས་ཁག་ལ་འགྲོ་བ། ཕྱི་རྒྱལ་གྱི་འགྲན་བསྡུར་དྲག་པོ་བཅས་ཀྱིས་ཨ་རིའི་ཚོང་ཁང་དང་བཟོ་གྲྭ་ཁང་ཁག་ལ་དཀའ་ངལ་ཆེན་པོ་བཟོ་བཞིན་ཡོད། ;ཨ་རིའི་ཚོང་ཁང་ཁག་གི་ཚོང་ལམ་ལེགས་པར་འགྲོ་རྒྱུ་དེ་དཀའ་བ་རེད། ;0
བུ་མོ་སོན་ཡཱ་ནི་མེ་རེ་ཌི་ཐའི་རྒྱུན་གྱི་རྣམ་འགྱུར་ལྟར་རང་ཚོད་ལ་འཐོར་བཞིན་ངུ་བཞིན་འདུག ;མེ་རེ་ཌི་ཐའི་བུ་མོ་སོན་ཡཱ་ནི་ངུ་ཞིང་འཁྲུགས་ཤོར། ;1
བུ་མོ་སོན་ཡཱ་ནི་མེ་རེ་ཌི་ཐའི་རྒྱུན་གྱི་རྣམ་འགྱུར་ལྟར་རང་ཚོད་ལ་འཐོར་བཞིན་ངུ་བཞིན་འདུག ;སོན་ཡཱ་ནི་ཧི་སི་ཏྲི་ལྟར་ངུ་ཞིང་མེ་རེ་ཌི་ཐའི་སྤྱོད་ཚུལ་ལྟར་ཕར་ཚུར་འཐེན་བཞིན་འདུག ;0
བུ་མོ་སོན་ཡཱ་ནི་མེ་རེ་ཌི་ཐའི་རྒྱུན་གྱི་རྣམ་འགྱུར་ལྟར་རང་ཚོད་ལ་འཐོར་བཞིན་ངུ་བཞིན་འདུག ;སོན་ཡཱ་ནི་བུད་མེད་རྒན་པ་ཞིག་ཡིན་པས་ཁོང་ཁྲོ་ལངས་ཡོད་ཀྱང་ མེ་རེ་ཌི་ཐའི་མདུན་དུ་སེམས་ཞི་ཞིང་བསྡད་ཡོད། ;2
འདི་ Quad ཞེས་པའི་སློབ་ཕྲུག་གི་སྡོད་ཁང་གི་ཉེ་འགྲམ་དུ་ཡོད། འདི་ནི Jacobean Revival གྱི་ཁང་ཁྱིམ་ཞིག་རེད། ཁང་མིག་དེའི་ནང་ཁྱམས་ར་མང་པོ་ཞིག་ཡོད། ;ཀྲའོ་ཌི་ནི་སྐྲ་ཞུན་ཁང་ཞིག་ཡིན། ;2
