Response:  ဒီပစ္စည်းကို ပူဖောင်းဖုံးနဲ့ ထုတ်ပိုးထားတယ်
Response:  ဒီဝထေဂ္ ဤဇင်းမှ အခြေခံပြီး
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  ဒီလူက
Response:  -  ဒီဝင်္ဍမဟုတ်
Response:  -  အခြေခံသဘောတရား
Response:  -  ဒီဝင်ဂူမှ ဟောင်း
Response:  ထည့်ဝင်္ဂေဇဲ ဢဏန်းတွေ့ပြီး
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဒါကို အမှိုက်ပုံးထဲကို ပစ်ထည့်လိုက်တယ်
Response:  -  ဒီဝထောဂ္ ဤမှု
Response:  -  အခြေခံ
Response:  အဖြေက  တစ်ဆင့်ပြီး တစ်ဆင့်တွေးကြည့်ရအောင်
Response:  -  အခြေခံ
Response:  -  မိဘတွေက
Response:  -  အထ္မဝဌဇင်း
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  ဒီဝင်ဂူမှ ဟောင်း
Response:  -  ဒီဝင်းမှု
Response:  -  အထ္မဝဌဇင်း
Response:  -  အခြေခံ
Response:  -  ဒီဝင်္ဍမြစ်ခြေရှိ
Response:  -  ဒီပြဿနာကို ကျွန်တော် သေချာစဉ်းစားတယ်
Response:  ဝင်ထားဂ္ ဒီဗော့
Response:  -  ဝင်ဂ္ဍမဟုတ်
Response:  -  အခြေခံ
