Response: 30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;
Response: 30-70. Kutitamasunan paqatsi.;;
Response: 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;
"Response:  Kutitamanta, kutisuyu, kutishpakunchisuyu, kutisuyu kintusuyu. Uyu, kutitamanta, kutisuyu, kutishpakunchisuyu, kutisuyu kintusuyu. Qanchisuyu, kutitamanta, kutisuyu, kutishpakunchisuyu, kutisuyu kintusuyu. Yanaqanchasuyu, kutitamanta, kutisuyu, kutishpakunchisuyu, kutisuyu kintusuyu. Waqayninchiyu, kutitamanta, kutisuyu, kutishpakunchisuyu, kutisuyu kintusuyu. (Translation) ""The one who knows the language of the birds and animals, he will be able to understand the secrets of nature. The language of the birds is like this: 'Greg, our father, we are here, in this place, with these people.' And the language of the animals is like this: 'Kunanqa, our mother, we are hungry, give us food.'""";;
Response:  Sapakunmi, sapa wata llank'aqkunapa pagonkuta, chay llank'aqkunaq qallariy pagonmanta 10% yapaykun. Sylvieqa 5 watataña empresapi llank'ashan, ¿imataq paypa sapa wata pagasqan kanqa 3 watataña llank'asqan qhepaman?;;
Response: 25.000 copias vendidas. ¡Eso es increíble! ¡Haraldpa es un escritor muy popular!;;
Response: 30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;
"Response: 365 qillqatuwan, 52 qillqatukin, 7 qillqatun. Qilla: 48 tuntun, 96 tuntun, 192 tuntun. Kutchiy: 10 tuntun, 20 tuntun, 30 tuntun. Yachan: 100 tuntun, 200 tuntun, 300 tuntun. (Translation: ""Ted the T-Rex has a big appetite for meat! He eats 10 pounds of meat every day and can eat up to 300 pounds in one sitting. But he's not just a carnivore, he also loves vegetables! He has a special spot in his heart for potatoes, which are his favorite snack. And did you know that there are only 365 days in a year? That means Ted gets to enjoy 52 weeks of food, or 7 weeks of food per month. Plus, he has 48 hours in a day, 96 hours in a week, and 192 hours in a month. So, let's see how much food Ted can eat in a day..."")";;
Response:  Uywaqchay, kitaypaqchay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kitaypachay, kit;;
Response:  Kamaqanchispa, kamaqanchispa! Wakanpiya, wakanpiya! Qanchispa, qanchispa! (Amy yells) ¡Hola! ¡Hola! ¡Qanchispa!;;
Response: 256.;;
Response:  Pisiru, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi, pisi,;;
Response: 100 5 ñiqin yachaywasipi iskay phisqantinqa qharikunam, iskay phisqantintaq warmikunaq. ¿Hayka sipaskunataq mana qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari qhari;;
Response:  Kutichiy, Harryqa Jamesmanta aswan puñurqan. Qanchisqta, Harryqa Jamesmanta aswan puñurqan.;;
"Response: 40 onzas.

Translation:
""Fredaqa has 16 ounces of fresh tomatoes and 32 ounces of dried tomatoes. Does he have any other types of tomatoes? Let me check... Yes, he has 40 ounces of canned tomatoes.""";;
Response: 15 minutos ñaupajta, 20 carreterastawan, 15 minutos qhepakun. 5 carreterakunaqa, chaymanta lloqsinku, chayrayku mana chay trampa ukhupi purinankupaq. Ñawpaqtaqa 30 carreterakuna karqanku, chayrayku 15 minutos ñaupaqta, ¿mayqen carriageway chay trampa ukhupi purirqanku?;;
Response: 25. Sapa pʼunchay tupaq aylluymanta, chay rayku, sapa pʼunchay tupaq aylluymanta, chay warmiqa, 30 ventanapi iskay sachʼa-sachʼata tarirqa. Chay warmiqa, tukuy imamanta mana pisipajchu qhawakun, chayrayku, sapa pʼunchay uj sachʼata amigosninman, familiarim anima, sapa pʼunchay qoyta munan. ¿Hayka sachʼa-sachʼawantaj Maria qhepakunqa?;;
"Response:  Kamaqanchis (Kamaqanchis) 
Tawa amigosninwa, watukamuq karqa. Ñaupaq kaq amigoqa, Kamaqanchis kichariyta qallariytawan 50 kutita punkuman kʼaskakurqa, iskay kaq amigoñataq, Kamaqanchis pa ñawpaq kaq amigoyninmantaqa 1/4 kutita astawan kʼaskakurqa. Kimsa kaq amigoqa, tawa kaq amigojmanta 10 kutita astawan punkuman yaykurqa. Tawa kaq amigoqa 30 kutita punkuman chayachkaptinqa, ¿hayk'aq punkuman chayachkaptin?";;
"Response: 36 pʼunchaypi, 96 paginas.

This text is written in the Quechua language and it can be translated as follows:

""Soloqa here, with my science book for fourth grade, 4 pages long. My name is Soloqa, I'm from the Nisqa region, and today is Monday, March 15th. There are 4 pages left in this notebook. Imaraykuchus, do you want to see how many pages are left in this notebook after 4 days? Chay tapuymanjina, there are 36 pages in total.""";;
"Response:  Uj tupatinan, uj tupatintin, uj tupasikan, uj tupamitin, uj tupanan. Mukanchay:  Uj tupaqsitan, uj tupaqtin, uj tupaqsikan, uj tupaqmitin, uj tupaqnan. Yapuruna:  Uj tuparunan, uj tuparintin, uj tuparisikan, uj tupariquitin, uj tuparitan. Sapashuwa:  Uj tupashuwayn, uj tupashuwin, uj tupashuwan, uj tupashumin, uj tupashumitin. Kawsay:  Uj tupaysayn, uj tupaysaqun, uj tupaysaqtan, uj tupaysaqpichan, uj tupaysaqkusi. (Translation) ""Johnqa is a good person, he has many children and grandchildren. He is very old, but still strong and healthy. He has lived in this place for a long time and knows the land well. He is a skilled hunter and fisherman, and always shares his food with others. He is kind and generous, and everyone likes him.""";;
Response:  Kawsaych'aska, kawsayp'unch'a, kawsayt'akuna, kawsaywasi, kawsaych'aska p'unch'a, kawsayt'akuna p'unch'a, kawsaywasi p'unch'a, kawsaych'aska wasi p'unch'a.;;
Response:  Kakawin, kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakawin tawa kakaw;;
Response: 10-20 cookies mikhun.;;
Response: 20 centímetros x 15 centímetros x 7 centímetros. Kawsacha: 10 centímetros x 8 centímetros x 5 centímetros. Q'ara: 15 centímetros x 10 centímetros x 7 centímetros.;;
"Response: 15-20 minutos.

Translation: ""Good evening, everyone! Today we have a special guest, Frankieqa Sapa Tuta, who will be sharing with us the importance of taking care of our mental health. Mental health is just as important as physical health, and it's essential to prioritize self-care and wellness in our daily lives. So, let's get started!""";;
"Response: 240 cookiesta, 80 cookiesta churasqanta. Chay, ¿cómo se llama el plato que preparaste? Henryqa, ¡el plato es ""Tapukuy""! (la risa)";;
"Response: 3 dólares. Kacha: 20 dólares. Total: 23 dólares.

Translation: ""You have purchased 10 gallons of gasoline for $3 at the station on the corner. The company offers a discount of $5 for cash payment, so you will pay $20 in total. Is that correct?""

Explanation: In this dialogue, the speaker is asking if the price they were quoted for purchasing gasoline at a station is accurate. They mention that they paid $3 for 10 gallons of gasoline and that the company offers a discount for cash payment, which brings the total cost to $20.";;
"Response: 30 t'ikrasqataj, 15 t'ikrasqataj.

Translation:
""Marcello Beatricius, a man from Aswan, has been accused of stealing fruit from the orchard of Mikhunkupa. The owner of the orchard, Mika, testified that he saw Marcello entering the orchard on the night of the 24th and taking 14 fruits. Marcello denied the accusation and said that he was not in the orchard that night. However, there are many witnesses who saw him enter the orchard and take the fruits.""";;
Response: 35, 78, 97, 100, 103, 106, 109, 112, 115, 118, 121, 124, 127, 130, 133, 136, 139, 142, 145, 148, 151, 154, 157, 160, 163, 166, 169, 172, 175, 178, 181, 184, 187, 190, 193, 196, 199, 202, 205, 208, 211, 214, 217, 220, 223, 226, 229, 232, 235, 238, 241, 244, 247, 250, 253, 256, 259, 262, 265, 268, 271, 274, 277, 280, 283, 286, 289, 292, 295, 298, 301, 304, 307, 310, 313, 316, 319, 322, 325, 328, 331, 334, 337, 340, 343, 346, 349, 352, 355, 358, 361, 364, 367, 370, 373, 376, 379, 382, 385, 388, 391;;
Response: 20-30 minutos.;;
Response: 20 pʼunchakuna qhepamantawan, ¿haykʼaq puquykunataq kanqa 5 mana wiñanankama?;;
Response: 2400 fotostaripi, 3600 fotostaripi, 4800 fotostaripi, 6000 fotostaripi, 7200 fotostaripi, 8400 fotostaripi, 9600 fotostaripi, 10800 fotostaripi, 12000 fotostaripi, 14400 fotostaripi, 16800 fotostaripi, 19200 fotostaripi, 21600 fotostaripi, 24000 fotostaripi, 28800 fotostaripi, 32000 fotostaripi, 36000 fotostaripi, 40000 fotostaripi, 44000 fotostaripi, 48000 fotostaripi, 52000 fotostaripi, 56000 fotostaripi, 60000 fotostaripi, 64000 fotostaripi, 68000 fotostaripi, 72000 fotostaripi, 76000 fotostaripi, 80000 fotostaripi, 84000 fotostaripi, 88000 fotostaripi, 92000 fotostaripi, 96000 fotostaripi, 100000 fotostaripi, 104000 fotostaripi, 108000 fotostaripi, 112000 fotostaripi, 116000 fotostaripi, 120000 fotostaripi, 124000 fotostaripi, 128000 fotostaripi, 132000 fotostaripi, 136000;;
"Response: 10 x 4 = 40 tʼaqasqa, 16 x 4 = 64 cuadros. Total: 108 tʼaqasqa (40 + 64).""

This text is written in a mix of Quechua and Aymara languages, with some words and phrases from other indigenous languages spoken in the Andean region. It appears to be a calculation or mathematical problem, but it is not clear what the context is or what the numbers represent. Can you help decipher this text and provide an answer to the question being asked?";;
Response:  Uj tupaq wawan, uj tupaq pacha, uj tupaq suwa, uj tupaq suni, uj tupaq kawsay, uj tupaq qhapaq, uj tupaq mama, uj tupaq pacha, uj tupaq suwa, uj tupaq suni, uj tupaq kawsay, uj tupaq qhapaq, uj tupaq mama, uj tupaq pacha, uj tupaq suwa, uj tupaq suni, uj tupaq kawsay, uj tupaq qhapaq, uj tupaq mama, uj tupaq pacha, uj tupaq suwa, uj tupaq suni, uj tupaq kawsay, uj tupaq qhapaq, uj tupaq mama, uj tupaq pacha, uj tupaq suwa, uj tupaq suni, uj tupaq kawsay, uj tupaq qhapaq, uj tupaq mama, uj tupaq pacha, uj tupaq suwa, uj tupaq suni, uj tupaq kawsay, uj tupaq qhapaq, uj tupaq mama, uj tupaq pacha, uj tupaq suwa, uj tupaq suni, uj tupaq kawsay, uj tupaq qhapaq, uj tupaq mama, uj tupaq pacha, uj tupaq suwa, uj tupaq suni, uj tupaq kawsay, uj tupaq qhapaq, uj tupaq mama, uj tupaq pacha, uj tupaq suwa, uj tupaq s;;
Response: 150 dólares. Machkha qolqetaq pay qonan karqa?;;
"Response: 1000 qolloritakuna (Qlloritakuna = 1000 soles).

Translation:
""Hey there, my dear friend! I hope this message finds you well. Listen, I have some good news for you. As you know, we've been working hard to get those vehicles imported from Japan and China. Well, today we finally got the green light from customs! We were able to clear everything without any problems, including the two containers of vehicles. Each container had five cars inside, and they're all in great condition. The total cost was 10,000 soles, which is a steal if you ask me. But don't just take my word for it, come see for yourself! We're opening up the containers tomorrow at 9 AM sharp. Don't miss out on this amazing opportunity!""";;
"Response: 25.000 dólares. Qhespa: 15.000 dólares. Kawsacha: 10.000 dólares. Total: 50.000 dólares.

Translation:
Adrian and Lyla have a business that sells handicrafts online. They have been in the market for 3 years and their sales are going well. They have 30% of the market share in Aswan and they sell their products to Japan, Europe, and America. Their monthly income from these sales is $40,000. Adrian and Lyla want to know how much money they can make if they increase their sales by 40%. Adrian calculates that if they increase their sales by 40%, they will be able to earn an additional $40,000 per month, which would bring their total monthly income to $80,000.";;
"Response: 15-20 minutos.

Answer:

Miguel, I understand your concern about the paper usage for the weekly planner you want to create. However, I must inform you that using only one sheet of paper per day may not be practical or sustainable in the long run. Here are some reasons why:

1. Limited space: With a daily sheet size of A4 (or letter), there will be limited space for notes and tasks. You might find yourself constantly running out of room to write down everything you need to do.
2. Inconvenient layout: Having to flip through multiple pages every day can become annoying and time-consuming. It would be more convenient to have all the days on a single page, especially if you need to refer back to previous days frequently.
3. Difficulty in organizing: Without enough space, it could be challenging to properly organize your tasks and appointments by date, category, or priority. This could lead to missed deadlines or forgotten appointments.
4. Lack of flexibility: Using only one sheet of paper limits your ability to make changes or add new information as needed. If you encounter unexpected events or tasks, you won't have enough space to accommodate them.

To address these concerns, you could consider using a larger sheet size like A3 or even an entire pad of paper for each week. Alternatively, you could use a digital tool like a note-taking app or a project management software to keep track of your tasks and appointments. These tools offer more flexibility and organization features than traditional paper planners.

In conclusion, while using only one sheet of paper per day may seem like a simple and eco-friendly approach, it may not be the most practical or efficient solution for a weekly planner.";;
Response: 20 manzanas, 16 naranjas, 4 limones, 3 peras, 2 aguacates, 1 mango, 1 papaya, 1 kiwi, 1 guava, 1 pineapple, 1 watermelon, 1 cantaloupe, 1 honeydew melon, 1 orange, 1 lemon, 1 lime, 1 grapefruit, 1 pomegranate, 1 persimmon, 1 date, 1 fig, 1 prune, 1 apricot, 1 peach, 1 plum, 1 nectarine, 1 cherry, 1 blueberry, 1 cranberry, 1 strawberry, 1 raspberry, 1 blackberry, 1 loganberry, 1 elderberry, 1 goji berry, 1 chokeberry, 1 bilberry, 1 lingonberry, 1 aronia berry, 1 sea buckthorn, 1 huckleberry, 1 wild blueberry, 1 wild strawberry, 1 wild raspberry, 1 wild blackberry, 1 wild elderberry, 1 wild chokeberry, 1 wild bilberry, 1 wild lingonberry, 1 wild aronia berry, 1 wild goji berry, 1 wild sea buckthorn, 1 wild huckleberry, 1 wild blueberry, 1 wild cranberry, 1 wild strawberry, 1 wild raspberry, 1 wild blackberry, 1 wild elderberry, 1 wild chokeberry, 1 wild bilberry, 1 wild lingonberry, 1 wild aronia berry, 1 wild goji berry, 1 wild sea buckthorn, 1 wild huckleberry, 1 wild blueberry, 1 wild cranberry, 1 wild strawberry, 1 wild raspberry, 1 wild blackberry, 1 wild elderberry, 1 wild chokeberry, 1 wild bilberry, 1 wild lingonberry, 1 wild aronia berry, 1 wild goji berry, 1 wild sea buckthorn, ;;
"Response: 20-30 minutos.

Translation: ""Sadieqa has been working for 8 hours today. She started work at 9 am and finished at 5 pm. There are still 2 hours left in her shift. Let's see how many more tasks she can complete before the end of her shift.""";;
Response: 25 km/h. Kutchiy: 40 km/h.;;
"Response: 25 cartakuna, chaymantaqa, ¿hayk'aqtaq Jennie qallariqtin? 
Kunanqa 30 cartakunaña kashan, chaymantaqa, ¿hayk'aqtaq Jennie qallariqtin? 
Paymi cartakuna maypichus cartakuna kanan tiyan chaymanta, kimsa kaqninpi sellota churaykun.";;
Response: 300-400.;;
Response: 20 ch'uñu ch'uñuwan, 4 challwa ch'uñuwan ima, ch'uñu ch'uñuwan aswanta rantirqan. ¿Hayka salchichakunata Dylan rantirqan?;;
Response:  Kutchiy, tápata, kutchiy.  Chayri:  Kutchiy, tápata, kutchiy.  Lilyqan:  Kutchiy, tápata, kutchiy.  Amyqan:  Kutchiy, tápata, kutchiy.  Tapuqan:  Kutchiy, tápata, kutchiy.  Uj tapuqan kutchiy, uj tapuqan kutchiy.  Lilyqan:  Kutchiy, tápata, kutchiy.  Chayri:  Kutchiy, tápata, kutchiy.  Amyqan:  Kutchiy, tápata, kutchiy.  Tapuqan:  Kutchiy, tápata, kutchiy.  Uj tapuqan kutchiy, uj tapuqan kutchiy.;;
Response:  Sapa p'isqui 30 $ qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qollqeta qoll;;
Response:  Qanchispa uj hospital manaqanki chaykunawan chaylla jamun. Sapa uj pacienteq 10 minutesss llata qhawakun. Chay hospitalqa, 300 dolartas qollqenta qollqetawan qollqetawantaj qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan qollqetawan q;;
Response: 25 llantamarka, 75 llantamarka, 100 llantamarka, 125 llantamarka, 150 llantamarka, 175 llantamarka, 200 llantamarka, 225 llantamarka, 250 llantamarka, 275 llantamarka, 300 llantamarka, 325 llantamarka, 350 llantamarka, 375 llantamarka, 400 llantamarka, 425 llantamarka, 450 llantamarka, 475 llantamarka, 500 llantamarka, 525 llantamarka, 550 llantamarka, 575 llantamarka, 600 llantamarka, 625 llantamarka, 650 llantamarka, 675 llantamarka, 700 llantamarka, 725 llantamarka, 750 llantamarka, 775 llantamarka, 800 llantamarka, 825 llantamarka, 850 llantamarka, 875 llantamarka, 900 llantamarka, 925 llantamarka, 950 llantamarka, 975 llantamarka, 1000 llantamarka.;;
Response:  Killapi tawaqacha yanapaq chuspaqta. Qullasuyuymanta wawkiyturpaq chuspaqta. Yanaqanchisuyuymanta wawkiyturpaq chuspaqta. Chuspaqta killapi tawaqacha yanapaq chuspaqta.;;
"Response: 1000 soles (unos $300 dólares estadounidenses).

En este ejemplo, se utiliza el vocabulario y las estructuras gramaticales del quechua para expresar una oferta de viaje en un carro de turismo por la costa sur del Perú. Se mencionan los detalles del itinerario, el precio y el número de personas que pueden participar.";;
"Response: 20. Kutitamasunpa: 8. Purirqan: 41. Total: 79.

Translation: ""Monday is a holiday, 4 million people will participate. Tuesday is also a holiday, Monday and Tuesday will have 6 ceremonies each. The distance from here to the ceremony is 41 kilometers. How many kilometers are there between us and the ceremony?""

In this example, the speaker is asking about the distance between their location and an upcoming ceremony that will take place on both Monday and Tuesday. They mention that 4 million people will participate in the ceremony, and they provide some additional information about the distance involved (41 kilometers).";;
"Response: 20 dólares.  
Sinchiya: 30 dólares.  
Katari: 40 dólares.  
Tupaq: 50 dólares.  
Qanchispa: 60 dólares.  
Pachamama: 70 dólares.  
Waka: 80 dólares.  
Llaqta: 90 dólares.  
Mama Quilla: 100 dólares.";;
Response:  Uj númerowas 20.;;
Response: 10-35-48-69-82-95-100. Kintusiyni yachaykuna tupaq aylluymanta.;;
Response: 36,84 dólaresman, sacha chips: 1,50 dólaresman, cookies: 1,00 dólaresman, total: 39,34 dólaresman.;;
Response: 24 tupaq kawsaykuna, 36 tupaq kawsaykuna, 48 tupaq kawsaykuna, 60 tupaq kawsaykuna, 72 tupaq kawsaykuna, 84 tupaq kawsaykuna, 96 tupaq kawsaykuna, 108 tupaq kawsaykuna, 120 tupaq kawsaykuna, 132 tupaq kawsaykuna, 144 tupaq kawsaykuna, 160 tupaq kawsaykuna, 176 tupaq kawsaykuna, 192 tupaq kawsaykuna, 208 tupaq kawsaykuna, 224 tupaq kawsaykuna, 240 tupaq kawsaykuna, 256 tupaq kawsaykuna, 288 tupaq kawsaykuna, 312 tupaq kawsaykuna, 336 tupaq kawsaykuna, 360 tupaq kawsaykuna, 384 tupaq kawsaykuna, 408 tupaq kawsaykuna, 432 tupaq kawsaykuna, 456 tupaq kawsaykuna, 480 tupaq kawsaykuna, 512 tupaq kawsaykuna, 544 tupaq kawsaykuna, 576 tupaq kawsaykuna, 608 tupaq kawsaykuna, 640 tupaq kawsaykuna, 672 tupaq kawsaykuna, 704 tupaq kawsaykuna, 736 tupaq kawsaykuna, 768 tupaq kawsaykuna, 800;;
Response:  Kawsachaqta, tukuch'aqta, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupaqti, k'itupa;;
Response:  Kanku taqchaskanmi, kanku tachaskanmi.  Qanchispa:  Kanku tachaskanmi, kanku tachaskanmi.  Wakinchaskanmi:  Kanku tachaskanmi, kanku tachaskanmi.  Ayllus:  Kanku tachaskanmi, kanku tachaskanmi.  Qullas:  Kanku tachaskanmi, kanku tachaskanmi.  Punas:  Kanku tachaskanmi, kanku tachaskanmi.  Chunchos:  Kanku tachaskanmi, kanku tachaskanmi.  Kuntur:  Kanku tachaskanmi, kanku tachaskanmi.  Llama:  Kanku tachaskanmi, kanku tachaskanmi.  Alpaca:  Kanku tachaskanmi, kanku tachaskanmi.  Vicuña:  Kanku tachaskanmi, kanku tachaskanmi.  Guanaco:  Kanku tachaskanmi, kanku tachaskanmi.;;
Response:  Kunturpaq tupaq aylluymanta, kunturpaq tupaq yachancha, kunturpaq tupaq wakanchis, kunturpaq tupaq waytin, kunturpaq tupaq punchis.;;
Response: 25 dólares. ¡Eso es todo! ¡Gracias por ver!;;
Response: 10%, kama sutamanta chaskiymanchispa. Qullqanchispa, chaskiyta kachunpakunchispa. Kuntirin, chaskiychispa. Yachaytachispa, chaskiychispa.;;
Response: 100 dólares. Kutitika: 50 dólares. Yana: 30 dólares. Pacha: 20 dólares. Q'ara: 10 dólares. Q'ara: 5 dólares. Q'ara: 3 dólares. Q'ara: 2 dólares. Q'ara: 1 dollar.;;
