input_sentence_1;input_sentence_2;input_sentence_3;input_sentence_4;sentence_quiz1;sentence_quiz2;answer_right_ending
ངའི་བུ་ནི་བུཚ་ལྟ་བའི་རྩེད་འགྲན་ཞིག་ནང་རྩེད་ཆས་ཀྱི་ཤིང་རྟ་འགྲན་བསྡུར་ནང་ཞུགས་པ་རེད། ;ཕ་དང་བུ་གཉིས་ལས་སྡེ་གིས་མེ་འབར་གྱི་སྣུམ་འཁོར་ཆུང་བ་ཞིག་བཟོས་ཡོད། ;ཊི་ཝན་ནི་ཇེ་ཆེར་འགྱུར་བའི་གྲོང་ཁྱེར་ཞིག་རེད། ;ང་ཚོས་དར་བི་རྒྱལ་རབས། རྒྱང་ཐག་གི་དར་བི་རྒྱལ་རབས། ;ང་དང་ངའི་བུ་གཉིས་ལས་ཀ་ཡག་པོ་བྱས་མེད། ;ངའི་བུ་ལ་དགའ་བ་ཆེན་པོ་བྱུང་། ;2
བཱ་རན་གྱིས་ལོ་འདི་ཧོ་ཀི་རྩེད་འགྲན་ནང་ཞུགས་འདོད་འདུག ;མ་གཏད་ཀྱིས་ཁོང་ནི་སྡེ་ཚན་ནང་མ་ཞུགས་པ་རེད། ;སློབ་སྟོན་པ་དེས་ཁོ་ལ་དུས་ཡུན་ཐུང་ཙམ་གྱི་རིང་ལ་དུས་ཡུན་ཐུང་ཙམ་གྱི་རིང་ལ་དུས་ཡུན་ཐུང་ཙམ་གྱི་རིང་ལ་དུས་ཡུན་ཐུང་ཙམ་གྱི་རིང་ལ་དུས་ཡུན་ཐུང་ཙམ་གྱི་རིང་ལ་དུས་ཡུན་ཐུང་ཙམ་གྱི་རིང་ལ་དུས་ཡུན་ཐུང་ཙམ་གྱི་རིང་ལ་དུས་ཡུན་ཐུང་ཙམ་གྱི་རིང་ལ་ ;བཱ་རན་གྱིས་དགུན་གང་ལ་འཁྱིལ་འགྲེལ་མགྱོགས་པོར་སྦྱོང་བ་བྱས། ;མཐའ་མར་ཁོང་ཚོ་སྡེ་ཚན་ནང་འཛུལ་སོང་། ;ཁོང་རྩེད་འགྲན་ལ་ཞུགས་མ་འདོད་པ་རེད། ;1
ཀེལ་ལིས་ཁུ་བྱུག་འགྲོ་བཞིན་པའི་སྐབས་སུ། གློ་བུར་དུ་མོའི་རྒྱབ་ནས་འུར་སྒྲ་ཆེན་པོ་ཞིག་ཐོས་པ་རེད། ;མོ་རྒྱབ་ཏུ་བལྟས་ཏེ་ཁ་བ་གངས་ཅན་ཞིག་མོ་ཕྱོགས་སུ་ཡོང་བཞིན་པ་མཐོང་། ;མོ་འཇིགས་ཏེ་རི་ནས་མྱུར་དུ་མར་འབབ་སོང་། ;མོས་ཆུ་ལོག་གིས་མོ་བཟུང་སྐབས་ མོས་ཤིང་སྡོང་ལ་མྱུར་དུ་མཆོངས་སོང་། ;ཀེ་ལིས་ཤིང་སྡོང་ཞིག་བཟུང་ནས་བརྟན་པོར་སྡེབ་པ་རེད། ;ཀེལ་ལིས་རི་བོ་ལ་རི་བོར་རི་འབབ་པའི་སྟེང་ལ་གནམ་གྲུའི་ཐོག་ཕེབས་ཐུབ་པ་རེད། ;1
ཧེ་རི་གྱིས་སྐར་ཆེན་དམག་འཁྲུག་གི་གློག་བརྙན་གསར་པ་ལྟ་འདོད་ཆེན་པོ་འདུག ;ཁོང་ནི་སྒོ་འབྱེད་ཉིན་མོ་སྒོར་ཁང་གི་སྒོར་སྒོར་སྒུག་བསྡད་ཡོད། ;ཁོང་རང་ཉིད་ལ་འགྲུལ་ཤོག་ཉོ་ཐུབ་པ་རེད། ;ཁོང་གིས་གློག་བརྙན་ཆ་ཚང་ལྟ་བ་རེད། ;ཧཱ་རི་ནི་རང་གི་གྲོགས་པོ་ཚོ་མཉམ་དུ་གློག་བརྙན་དེ་མཐོང་བར་དགའ་པོ་བྱུང་། ;ཧེ་རི་གྱིས་གློག་བརྙན་དེ་ལ་དགའ་པོ་བྱུང་། ;2
ཉིན་རྗེས་མར་མཱར་ཀས་ལས་ཀ་གསར་པ་ཞིག་འགོ་ཚུགས་པ་རེད། ;མི་ངོ་མི་ཤེས་པ་མང་པོ་ཡོད་པའི་རྐྱེན་གྱིས་ཁོང་སེམས་འཁྲལ་ཆེན་པོ་བྱུང་ངོ་། ;ཁོང་མཚན་མོ་དེ་སྔོན་ལ་སེམས་ཁྲལ་གྱི་རྐྱེན་གྱིས་གཉིད་ཡང་མ་ཁུག་པར་བསྡད་ཡོད་འདུག ;ཁོང་ཁང་པའི་ནང་དུ་འཛུལ་སྐབས་མི་མང་པོས་ཁོང་ལ་དགའ་བསུ་ཆེན་པོ་ཞུས་ཡོད། ;ཉིན་དེ་རང་ལ་ཁོང་ལས་ཕྱིར་ཕུད་བྱས་པ་དང་ཁང་པ་ནས་ཕྱིར་ཐོན་པ་རེད། ;ཁོང་རང་གི་ལས་ཀ་གསར་པའི་ནང་ཧ་ཅང་ལེགས་པོ་ཡོང་གི་ཡོད་པ་ཤེས་པ་རེད། ;2
ཨེ་ལེ་ནེར་བུ་མོ་ཆུང་ཆུང་ཞིག་ཡོད་དེ། ཁོ་མོའི་ཁང་མིག་ནང་དུ་ཉལ་ཁྲི་ཞིག་ནང་ཉལ་གྱི་འདུག ;ཉིན་ཞིག་ཞོགས་པ་ཨེ་ལེ་ནེར་ཕྲུ་གུ་སྐད་འདོན་པ་མ་ཐོས་པས། ཁོ་ལ་བལྟ་བར་ཕྱིན་པ་རེད། ;བུ་མོ་དེར་ལུས་སེམས། ;ཨེ་ལེ་ནེན་འཇིགས་སྣང་ཆེན་པོ་སྐྱེས་ནས་ཁྲིམས་སྲུང་འགག་སྡེ་ལ་འབོད་སྐུལ་བྱས་པ་ཡིན། ;ཨེ་ལེ་ནི་ཧ་ཅང་འཇིགས་པས་ཁུ་སིམ་པོ་འདུག ;ཨེ་ལེ་ནེར་སེམས་བདེ་པོ་བྱུང་ངོ་། ;1
པེར་ལིས་ CD འདྲ་པར་ཁག་པོ་འདུས་ནས་དེའི་སྒང་ཁེབས་ལ་རྩོམ་བྲིས་བྱས་ཡོད། ;མོ་ལ་དཱི་ཕི་ནའི་གློག་བརྙན་གཉིས་མཉམ་དུ་བཟོ་ཡོད་པའི་ཇ་ཛིའི་གློག་བརྙན་ཞིག་ཧ་ཅང་དགའ་པོ་འདུག ;ཨ་ཅས་མོ་ལ་ཁྲོས་ནས་ CD ཞིག་རྐུས་པ་རེད། ;པེར་ལིའི་སེམས་སྐྱོ་ནས་སྲིང་མོ་ལ་དེ་ཕྱིར་སློག་བྱེད་རོགས་ཞུས་སོ། ;པེར་ལིའི་སྲིང་མོ་ལ་སེམས་དགའ་བར་འདོད་དོ། ;པེར་ལིའི་སྲིང་མོ་ནི་དགྲ་ཤ་ལེན་པར་འདོད་ཀྱི་འདུག ;2
ཨ་ན་ན་མཚོ་འགྲམ་ལ་སོང་སོང་། ;ཆུ་རུད་ཆད་ནས་མོ་ལ་ཆུ་རྫིང་ཞིག་མཐོང་ངོ་། ;མོ་དེ་ལ་བལྟ་བར་སོང་བ་དང་། དེར་ཡོད་པའི་སྲོག་ཆགས་རྣམས་ལ་ངོ་མཚར་ཆེན་པོ་བྱུང་ངོ་། ;ཉ་དང་། མཚོ་སྲིན་དང་། མཚོ་སྐར། ཤིན་ཏུ་ངོ་མཚར་ཆེ། ;ཨ་ན་ན་རྒྱ་མཚོའི་སྲོག་ཆགས་ལ་ལྟ་བ་དང་རང་བཞིན་གྱི་ངོ་མཚར་བའི་སྐོར་བསམ་བློ་བཏང་། ;ཨ་ན་ནི་མཚོ་འགྲམ་ལ་བསྐྱོད་པའི་སྐབས་ཡིད་ཕམ་ཆེན་པོ་བྱུང་ངོ་། ;1
བི་རི་ན་ན་མོ་དང་མོའི་ནང་མི་སྒར་བརྒྱབ་པར་སོང་སྐབས་སྐད་ཆ་འདོན་པར་འུར་སྒྲའི་སྐད་འདོན། ;སྐྲ་དང་རྨིག་པ་བཤིག་རྒྱུ་དང་བརྙན་འཕྲིན་མི་མཐོང་བ་རེད། ;ཡིན་ནའང་མོ་རང་གི་ས་མོ་རེའི་ (S'MORE) ཟས་ཐེངས་དང་པོར་འཐུང་སྐབས་དེ་དག་བརྗེད་པ་རེད། ;ཟ་འཐུང་བྱེད་དེ་མོ་ནི་སྐར་མའི་ཁེངས་པའི་ནམ་མཁའ་ལ་ལྟ་ཞིང་ཧ་ལས་སོ། ;བི་རི་ན་ན་ (Brianna) ནི་ཨ་ག་རིའི་ཟས་མི་དགའ་བ་ཞིག་རེད། ;བི་རི་ན་ན་ལ་སོ་མ་ར་ (s'mores) ཧ་ཅང་ཡག་པོ་འདུག ;2
ཤེ་ཡིས་ཤིང་ནགས་སུ་འགྲུལ་བསྐྱོད་བྱེད་ཀྱིན་ཡོད། ;དེ་ནས་མོ་རང་མགོ་འཐོམ་པ་ཤེས་པ་རེད། ;མོ་འཇིགས་སྣང་མི་བྱེད་པར་བརྩོན་པ་ཡིན། ;མོས་གོམ་པ་རྒྱབ་ནས་སྒར་སར་ལོག་པའི་ལམ་རྙེད་པ་རེད། ;ཤ་ཡི་ཕྱི་ཚེས་ཉིན་ནགས་ཚལ་ནང་དུ་རྙེད་བྱུང་། ;ཤེ་ཡིས་སེམས་གསོ་ཆེན་པོ་ཐོབ་བྱུང་། ;2
ཐོ་རའེ་ནི་ཁོ་ཡི་རྩེད་འགྲན་ཚོགས་པའི་རྩེད་འགྲན་པ་ཡག་ཤོས་ཞིག་རེད། ;ཁོང་གི་སྡེ་ཚན་གྱིས་དེ་རིང་དགོང་མོ་འགྲན་བསྡུར་རྩེད་འགྲན་བྱེད་བཞིན་ཡོད། ;ཐོ་རའེ་གིས་རྩེད་འགྲན་འདི་ཁོང་རང་གི་སྡེ་ཚན་ལ་རྒྱལ་ཁ་ཐོབ་པར་དམིགས་ཏེ་ སྐུགས་ ༥༦ ཐོབ་པ་རེད། ;རྩེད་འགྲན་མཇུག་ཏུ་ཁོང་གིས་ཕུཊ་བུམ་ཆེན་པོ་ཞིག་འཁྱེར་སོང་། ;ཁོ་ལ་རྩེད་ཐང་ནི་ཁོ་དང་མི་མཐུན་པ་རེད་བསམ་བྱུང་། ;སྔ་དྲོ་ཁོ་གསར་ཤོག་གི་ཤོག་ངོས་དང་པོར་ཐོན་པ་མཐོང་བྱུང་། ;2
སི་མོན་ལ་ཟས་དུག་ཐོན། ;ཁོང་ཚོས་ཉེ་ཆར་འགྲིམས་པའི་ཟ་ཁང་ཚང་མ་དྲན་བྱུང་། ;ཁོང་མཉམ་དུ་ཟས་ཟ་བའི་གྲོགས་པོ་རྣམས་ལ་འབོད་བཞིན་ཡོད། ;ཁོང་རང་གི་གྲོགས་པོ་ཞིག་གིས་ཁོང་ལའང་ཟས་རིགས་དུག་གིས་མནར་ཡོད་སྐོར་བཤད་བྱུང་། ;ཁོང་ཚོས་གནས་ཁང་གང་ཡིན་པར་རྟོགས་པ་རེད། ;ཁོང་གཉིས་སླར་ཡང་ཟ་ཁང་གཅིག་ཏུ་སོང་བ་རེད། ;1
ཨ་ནར་ལིན་བྱ་རྣམས་འཇིགས་ཀྱི་འདུག ;ཉིན་ཞིག་ཁོང་ནི་པིག་ནིཀ་ཞིག་ཏུ་ཕེབས་པ་རེད། ;རྒྱང་རིང་ནས་བྱ་ཞིག་འཕུར་བཞིན་འདུག ;ཁོ་ལ་ཟ་བའི་ཟས་ཀྱི་སྟེང་དུ་བབས་པ་རེད། ;ཨ་ནར་ལིན་ནི་ཞི་ཞིང་བྱ་དེ་མཐོང་བར་དགའ་པོ་བྱུང་། ;ཨ་ནོ་ལ་ཌིས་འཇིགས་ནས་སྐད་ཅོར་བརྒྱབ་འདུག ;2
ཉིན་ཞིག་ཨ་དམ་གྱིས་གནམ་གྲུའི་མཚོན་ཆ་གཉིས་ཉོས་པ་རེད། ;ཁོང་རང་གི་བུ་ཀཱ་ཤི་ན་ལ་ཡང་སྤྲད་པ་རེད། ;ཀྲི་སི་ཀྲིན་གྱིས་ཁང་པའི་ནང་དུ་ཡོད་པའི་མཚོན་ཆ་རྣམས་མཉམ་དུ་རྩེད་འདོད་འདུག ;ཀྲི་སི་ཀྲིན་གྱིས་མཚོན་ཆ་ཕབ་ནས་བརྙན་འཕྲིན་གྱི་སྒྲོམ་དེ་བཅག་པ་རེད། ;ཨ་དམ་གྱིས་ཀཱ་ཤི་ཤི་ཡན་ནས་མཚོན་ཆ་འཕྲོག་པ་རེད། ;ཨ་དམ་ནི་ཀཱ་ཤི་ཡཱན་ལ་སྤོབས་པ་ཆེན་པོ་ཡོད། ;1
ཀི་པི་ (Kip) ནི་གངས་མེད་པས་སེམས་ཕམ་བྱུང་། ;ཁོང་རང་གི་ཕ་མ་གཉིས་ལ་འདི་མིན་ན་དུས་ཆེན་འདྲ་མིན་ཟེར་ཞིང་ངར་སྐད་འདོན་པ་རེད། ;ཁོ་ཚོས་ཁོ་ལ་ཉལ་སར་འགྲོ་དགོས་ཅེས་ལབ་པ་རེད། ;ཀིབ་ཀྱིས་རྐང་རྡབ་རྡབ་བྱས་ནས་རང་གི་ཁང་མིག་ཏུ་ཕྱིན་པ་དང་མཐའ་མར་གཉིད་ཁུག་པ་རེད། ;ཁོ་ལ་སེམས་དགའ་བར་བྱེད་པའི་ཕྱིར་ཀིབ་ཀྱི་ཕ་མ་གཉིས་ཀྱིས་ཁོ་ཕོ་སོ་རི་ཌ་ལ་བསྐྱལ་བ་རེད། ;ཀི་པིས་གངས་ཀྱི་མེ་ཏོག་གི་རྨི་ལམ་མཐོང་བ་རེད། ;2
བེན་ནི་རྟག་ཏུ་པི་ཡན་ནའི་རོལ་དབྱངས་སྦྱངས་འདོད་ཀྱི་འདུག ;ད་ལྟ་ཁོང་གི་ཕྲུ་གུ་ཚོ་ཆེར་སོན་ཡོད་པས་དུས་ལྷག་ཙམ་ཡོད། ;བེན་གྱིས་ས་གནས་ཀྱི་དགེ་རྒན་ཞིག་དང་མཉམ་དུ་པི་ཡན་ལོའི་སློབ་སྦྱོང་ལ་ཞུགས་སོ། ;དཀའ་ལས་བྱུང་ཡང་། ཁོ་ནི་སློབ་སྦྱོང་ལ་བརྩོན་ཤུགས་ཆེན་པོ་བྱེད་ཀྱི་ཡོད། ;ཁོ་ལ་དཀའ་ལས་ཆེན་པོ་ཡོད་པས་མཚམས་འཇོག་བྱེད་པ་ཡིན། ;སློབ་ཚན་རེ་རེར་ཁོང་ཧ་ཅང་ཡར་རྒྱས་སོང་བ་རེད། ;2
བེན་སོན་ལ་སློབ་གྲྭའི་ནང་དུ་བུ་གཞན་ཞིག་གིས་བཙན་གནོན་བྱས་འདུག ;བེན་སོན་ལ་གཉིད་མི་ཁུག་པ་རེད། ;མཐའ་མར་ཁོང་གིས་སློབ་གྲྭའི་དགེ་རྒན་རྣམས་ལ་དེའི་སྐོར་བཤད་པ་རེད། ;སློབ་ཕྲུག་གི་སེམས་ཁྲལ་ ;ཁོང་ཚོས་ཁོང་ལ་བསྟོད་བསྔགས་ཕུལ་ལོ། ;དཀའ་སྡུག་ཅན་དེ་སློབ་གྲྭའི་ཕྱི་རུ་བཏང་། ;2
ང་དང་ཕ་གཉིས་ལྡུམ་རའི་ནང་ཤིང་སྡོང་ལ་ས་སྟོང་བཟོ་བཞིན་ཡོད། ;ང་ཚོ་ས་སྟོང་བཟོ་བའི་ཆེད་ཆུ་ཚོད་མང་ཙམ་བྲུས་པ་ཡིན། ;ངས་ས་ལ་སྦས་པའི་སྒམ་ཞིག་རྙེད་བྱུང་། ;ངས་ནང་དུ་བལྟས་པ་ན། འདི་རུ་དུད་འགྲོ་ཤི་བ་ཞིག་འདུག ;ངས་སྒམ་དེ་ཕྱིར་བཞག་ནས་ ས་དོང་བྲུས་སའི་ས་ཆ་གཞན་ཞིག་རྙེད་བྱུང་། ;ང་ཧ་ཅང་དགའ་པོ་བྱུང་། ;1
ཀ་རེན་ནི་སློབ་གྲྭ་དུ་སོང་ནས་མོ་རང་གི་རོགས་པ་སེམ་ལ་བཞག་པ་རེད། ;སེམ་ལ་ཀར་ནེཤི་ཡིད་འཕྲོག་ནའང་། ཁོ་ལ་དེ་སེལ་བའི་འཆར་གཞི་ཞིག་ཡོད་ཅིང་། ;བདུན་ཕྲག་གཅིག་གི་ཉིན་མོ་རིང་པོར་སེམ་གྱིས་བྱང་ཕྱོགས་ཀྱི་ས་གནས་ཀར་ནེར་མཇལ་བར་འགྲོ་སྐབས་ཀྱི་ ཊི་ལར་བཞུད་སོང་། ;སེམ་ལ་ཡིད་འཕྲོག་པའི་ཀེ་རེན་ལ་ཡང་དེ་འདྲ་བྱེད་པའི་འཆར་གཞི་ཞིག་ཡོད་པ་རེད། ;མོས་སེམ་དང་ཐུག་འཕྲད་བྱེད་ཕྱིར་ཡུལ་ལ་ཕྱིན་པ་དང་། ཁོང་གཉིས་ཕན་ཚུན་ལ་ཐུག་འཕྲད་བྱས་མ་བྱུང་། ;མོས་སེམ་དང་ཕྲལ་ནས་ཁོ་སེམས་ཕམ་ཆེན་པོ་བྱུང་ངོ་། ;1
ཡོ་ཡེས་རང་གི་གྲོགས་པོ་རྣམས་དང་མཉམ་དུ་སྒར་བརྒྱབ་བཞིན་ཡོད། ;ཁོ་ལ་མེ་ཞིག་འབར་ནས་མེ་རེཤི་མོལ་ལོ་ (marshmallow) ཞིག་སྲེག་འདོད་འདུག ;ཁོ་ལ་ཤིང་ནགས་སུ་ཤིང་དང་ཤིང་དུམ་འགའ་ཤས་རྙེད་བྱུང་། ;ཁོང་གིས་ཤིང་སྡོང་ལ་མེ་སྤར་བའི་ཆེད་སོལ་མེའི་ལག་ལེན་བྱས་པ་ཡིན། ;ཡོ་ཨིས་སྒར་བརྒྱབ་པར་སྡང་བ་རེད། ;དེ་ནས་ཁོས་མཱར་ཤི་མོལ་ལོ་ (marshmallow) ཞིག་བཙོས་སོ། ;2
དི་ཡ་ན་ཡིས་ལས་ཁང་གཙང་མ་བཟོ་བར་འཚོ་བ་སྐྱེལ་གྱི་ཡོད། ;མོ་ནི་ཆུ་ཁང་དང་རྩིག་པ་བཀྲུས་ཀྱི་ཡོད། ;གཟའ་སྤེན་པའི་ཉིན་མོ་ལས་ཀ་བྱེད་སྐབས་ཁོང་ཧ་ཅང་སྐྱོ་ཞིང་ན་ཚ་བྱུང་འདུག ;ཉིན་མོ་ངལ་གསོ་ཡང་མ་ལེན་པར་བསྡད་ཡོད། ;ཁོ་མོས་ཉིན་གུང་གི་ཟས་ཕུད་ཆེན་པོ་ཞིག་ཟས་སོ། ;མོ་ཡིས་ཁྲུས་ཁང་ནང་དུ་སྐྱུགས་སོང་། ;2
ཇེ་སོན་གྱི་གྲོགས་པོ་མཆོག་ཕྱི་ལོ་ནང་རྒྱ་གར་དུ་གཉེན་སྒྲིག་བྱེད་རྒྱུ་རེད། ;ཇེ་སོན་གྱིས་གཉེན་སྒྲིག་མ་རན་པའི་སྔོན་ལ་ཧིན་དི་སྐད་སྦྱངས་འདོད་འདུག་ཟེར་ཐག་བཅད་འདུག ;ཁོང་ཉིད་སློབ་སྟོན་པ་ཞིག་གླས་ཏེ་ཉིན་རེར་ཧིན་དི་སྐད་སྨྲ་བའི་སྦྱོང་བརྡར་བྱེད་པ་ཡིན། ;གཉེན་སྒྲིག་གི་ཉིན་མོ་སླེབས་པའི་ཚེ། ཇེ་སོན་གྱིས་ཧིན་དི་སྐད་དལ་པོར་སྨྲ་བཞིན་འདུག ;ཡི་སོན་གྱིས་སྐད་གཉིས་ཤེས་པ་ཚང་མས་ངོ་མཚར་བྱུང་། ;ཡཱ་སོན་གྱི་གྲོགས་པོ་མཆོག་གི་སེམས་ལ་མི་དགའ་བ་རེད། ;1
ཐོ་ཌ་དང་ཨ་ཤེལ་ལིས་ཐུག་འཕྲད་བྱས་པ་ཡིན། ;ཐོ་ཌ་གྱིས་ཨ་ཤེལ་ལིའི་ཐོག་ཁོང་ཁྲོ་ལངས་པ་རེད། ;ཁོང་མོ་ལ་ཁ་རོག་སྡོད་ཀྱི་རེད། ;ཨེཤ་ལི་ཁོང་ཁྲོ་ལངས་པ་རེད། ;མོ་ཁྲོས་པ་རེད། གང་ཡིན་ཟེར་ན། ཐོ་ཌིས་ཁ་གཏད་མ་ཐུབ་པས་རེད། ;མོ་གིས་ཏོ་ཌ་དང་ཡང་གཏམ་གླེང་མི་བྱེད་པར་ཐག་བཅད་འདུག ;2
ང་དང་ངའི་གྲོགས་པོ་རྣམས་སློབ་གྲྭའི་ཚོགས་ཆེན་ཞིག་ཏུ་གདན་འདྲེན་ཞུས་ཡོད། ;ང་ཚོས་དགའ་སྟོན་ཆེན་པོའི་ཆེད་དུ་གོས་ལེགས་གྱོན་པ་ཡིན། ;ང་ཚོ་དགའ་སྟོན་ལ་ཧ་ཅང་དགའ་པོ་བྱུང་། ;ཚོགས་ཆེན་དུ་ང་ཚོས་དུས་ཡུན་གང་ཙམ་བྲོ་བ་བྱས། ;ང་ཚོས་དུས་ཆེན་ལ་མི་དགའ་བ་རེད། ;ང་ཚོས་དུས་ཡུན་རིང་པོར་དགའ་སྐྱིད་ཆེན་པོ་བསྐྱངས་པ་ཡིན། ;2
ཀེལ་ལི (Kelly) དང་མོའི་གྲོགས་པོ་ཚོས་བག་ལེབ་བཟོ་དུས་ཆེན་ཞིག་སྲུང་རྒྱུའི་ཐག་གཅོད་བྱས་པ་ཡིན། ;བུ་མོ་རྣམས་ཀྱིས་བག་ལེབ་འགའ་ཤས་བཟོས་པར་ཐག་བཅད་པ་རེད། ;ཁོང་ཚོས་ཤ་ཀའོ་ཊི་དང་ཨོ་ཊ་མེ་ལེའི་བག་ལེབ་བཟོས་པ་རེད། ;བྱས་རྗེས་དེ་དག་ཁལ་ནང་དུ་བླུགས་པ་རེད། ;ཁྱིམ་མཚེས་ཚང་མར་བཏང་། ;ཁོང་ཚོས་ཧམ་བྷར་གྷར་ཚང་མ་ལམ་འགྲོས་སུ་འགྲོ་མཁན་རྣམས་ལ་སྤྲད་དོ། ;1
བུ་མོ་ཚོ་དཀའ་ངལ་མང་པོ་བཟོ་མཁན་རེད། ;སྐབས་རེ་ལ་ཁོང་ཚོས་བསམ་བློ་མ་བཏང་བའི་གཏམ་རྣམས་སྨྲ་བར་བྱེད། ;སྔོན་ཆད་ང་དང་གཏམ་གླེང་བྱེད་མཁན་དེས་ང་ལ། རྫུན་བཤད་བྱུང་། ;མོ་ཕྱུག་པོ་ཡིན་ཞེས་བཤད་བྱུང་། ;མོས་དབུལ་པོ་ཆེན་པོ་ཞིག་ཏུ་གྱུར་པ་རེད། ;འདི་ཡིས་བུད་མེད་ཚོས་དུས་རྟག་ཏུ་བདེན་གཏམ་སྨྲ་བ་ལ་བདེན་དཔང་བྱེད་པ་ཡིན། ;1
ཉིན་མོ་དེ་ནི་ཧ་ཅང་གྲང་པོ་འདུག ;ཆུ་ཚོད་མང་པོར་ཆར་ཤུགས་ཆེན་པོ་འབབ་བཞིན་ཡོད། ;ལ་སིན་གྱི་མི་རྣམས་ཀྱིས་གློག་མེ་མེད་པའི་ཐོག་རང་ཁྱིམ་དུ་བསྡད་དགོས་བྱུང་འདུག ;རླུང་འཚུབ་ཀྱིས་གྲོང་ཁྱེར་དུ་ཁ་བ་ཚད་མི་ཊར་གསུམ་ཙམ་འཁྱེར་ཡོང་འདུག ;སློབ་གྲྭ་དེ་རྒྱུན་ལས་ལྷག་པར་དུས་ཡུན་རིང་པོར་སྒོ་འབྱེད་བྱེད་ཡོད། ;སློབ་གྲྭའི་ལས་དོན་མཚམས་འཇོག་བྱས་འདུག ;2
ལེ་རི་ནི་ཕ་དང་མཉམ་དུ་གཱོལ་ཕེབས། ;ལ་རི་ནི་སྔ་དྲོ་དེར་ཁུ་བ་འཐུང་ནས་ཤུགས་ཆེན་པོ་བྱུང་འདུག ;ཁོ་ཡིས་ཐེངས་དང་པོར་ཤུགས་གང་ཐུབ་ཀྱིས་རྩེད་ཐང་ལ་རྡུང་། ;ལ་རི་ཡིས་ཐེངས་གཅིག་ལ་ཕུར་རྡུང་བྱས་པ་ཡིན། ;ལ་རི་ནི་རང་གི་གན་ས་ལ་ཁྲོས་པ་རེད། ;ལེ་རི་ནི་ཐེངས་དང་པོར་ཕོར་པ་གཅིག་ནང་རྡུང་ཐུབ་པར་དགའ་པོ་བྱུང་། ;2
ཀེན་ཌི་ནི་དགའ་སྤྲོའི་ངང་ནས་གཉིད་སད་སོང་། གང་ལགས་ཟེར་ན། དེ་རིང་ནི་མོའི་འཁྲུངས་སྐར་ཉིན་མོ་རེད། ;ཉིན་གཅིག་རིང་ལ་བུད་མེད། ;མོ་སེམས་ཕམ་ཆེན་པོ་བྱུང་ནས་བསམ་ཚུལ་གཞན་ཚོས་བརྗེད་སོང་ཟེར། ;རྗེས་སུ་མོས་བཀྲེས་ཤིང་ཁང་པའི་ནང་དུ་འགྲོ་དུས། ;མོ་ལ་སེམས་ཕམ་པའི་རྐྱེན་གྱི་ཟས་ཚད་མང་བ་ཟ་འདོད་མེད། ;མོ་ལ་སུ་ཞིག་གིས་ཀྱང་འབུལ་བ་མ་ཕུལ་བར་ཧ་ཅང་དགའ་པོ་འདུག ;1
ཉེ་ཆར་ངས་རང་གི་ལས་ཀ་ལ་ཧ་ཅང་དགའ་པོ་མ་བྱུང་སོང་། ;ངས་རང་ཉིད་དགའ་ཞིང་གནས་ཐུབ་པའི་ཆེད་གསར་པ་ཞིག་འཚོལ་རྒྱུ་ཐག་བཅད་པ་ཡིན། ;ངས་ས་གནས་མང་པོ་ནས་ཡིག་ཆ་ལེན་པར་བཅར་བ་ཡིན། ;ཞིག་ནས་ང་ལ་ལན་བཏང་ནས་ང་བཅར་འདྲི་ཞིག་ཏུ་སོང་བ་ཡིན། ;ངས་རྒྱུགས་ཤིག་འགྲོ་རྒྱུ་ཐག་བཅད་པ་ཡིན། ;ངས་སྐད་ཆ་འདྲི་བར་སོང་ནས་ལས་ཀ་ཐོབ་པར་དགའ་པོ་བྱུང་། ;2
ལིན་སིས་ལྷམ་གསར་པ་རེ་འདོད་ཆེན་པོ་ཡོད། ;ལྷམ་དེ་རིན་པོ་ཆེའི་འདུག ;མོ་རང་གི་དངུལ་གསོག་འཇོག་བྱེད་རྒྱུ་ཐག་བཅད་པ་རེད། ;བདུན་ཕྲག་ཁ་ཤས་ཀྱི་རྗེས་སུ་མོ་ལ་ལྷམ་དེ་ཐོབ་ཀྱི་རེད། ;མོ་ཡིས་དངུལ་དེ་ཕྱི་རོལ་དུ་ཟ་བར་བཏང་། ;མོས་ལྷམ་དེ་ཉོས་ཏེ་དགའ་པོ་བྱུང་ངོ་། ;2
ཨོ་རཱ་ནི་བུད་མེད་ཚོགས་ཤིག་ཏུ་ཞུགས་པའི་ཆེད་དུ། ཆུ་མ་འཐུང་བར་བསྡད་དགོས་བྱུང་ཡོད་པ་རེད། ;མོ་ལ་ཆུ་གཙང་མ་མེད་པའི་ཉིན་གང་ལ་ཡང་ཡིད་མི་ཆེས་པ་རེད། ;དེ་ནས་མོ་ལ་ཐབས་ལམ་ཞིག་རྙེད་བྱུང་། ;དེ་རྣམས་ཀྱིས་ཨོ་རཱ་ལ་ཆུ་མི་འཐུང་ཅེས་མ་སྨྲས་པ་རེད། ;ཨོ་ར་གྱིས་ཁུ་བྱུག་བྱས་སོང་། ;ཨོ་ར་གྱིས་ཆུ་སྦང་བྱས་འདུག ;1
