"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
No";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
No";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
जुन";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
  उनले लेखेका छन्;"मलाई विश्वास छैन कि सम्भवत यस कार्यक्रमको अन्त्य हुने जोखिमलाई सम्भवत यसबाट हुने सम्भावित मूल्यले पार लगाउँछ, जब तालिबानले सीएनएनको अगाडि एउटा जलेको प्रड्याटर प्रदर्शन गरेर जोखिम बढाएको छ। 
परिकल्पना:  उनी सीएनएनमा जलाइएको प्रड्याटर देखाइएकोमा खुसी थिएनन्। 
के यो आधारमा परिकल्पनालाई समावेश गरिएको छ?  
हो वा होइन भन्ने बीचमा छनौट गर्नुहोस्। 
उत्तर:  
Yes"
  उनले लेखेका छन्;"मलाई विश्वास छैन कि सम्भवत यस कार्यक्रमको अन्त्य हुने जोखिमलाई सम्भवत यसबाट हुने सम्भावित मूल्यले पार लगाउँछ, जब तालिबानले सीएनएनको अगाडि एउटा जलेको प्रड्याटर प्रदर्शन गरेर जोखिम बढाएको छ। 
परिकल्पना:  तालिबानलाई सीएनएनमा प्रिडेटरबाट भागिरहेको देखाइएको थियो। 
के यो आधारमा परिकल्पनालाई समावेश गरिएको छ?  
हो वा होइन भन्ने बीचमा छनौट गर्नुहोस्। 
उत्तर:  
Yes"
  राष्ट्रपति बुसले पछि यो प्रस्तावको प्रशंसा गर्दै भने;"यो मेरो सोचमा एउटा महत्वपूर्ण मोड थियो ।' 
परिकल्पना:  राष्ट्रपति बुसले आफ्नो धारणामा पुनर्विचार गर्न अस्वीकार गरे, जब नयाँ विचारहरू प्रस्तुत गरिए पनि। 
के यो आधारमा परिकल्पनालाई समावेश गरिएको छ?  
हो वा होइन भन्ने बीचमा छनौट गर्नुहोस्। 
उत्तर:  
नहीं"
  राष्ट्रपति बुसले पछि यो प्रस्तावको प्रशंसा गर्दै भने;"यो मेरो सोचमा एउटा महत्वपूर्ण मोड थियो ।' 
परिकल्पना:  राष्ट्रपतिले एउटा प्रस्तावका कारण आफ्नो विचार परिवर्तन गरे। 
के यो आधारमा परिकल्पनालाई समावेश गरिएको छ?  
हो वा होइन भन्ने बीचमा छनौट गर्नुहोस्। 
उत्तर:  
Yes"
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
No";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
सोही";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No";
"  
Yes";
"  
Yes";
"  
No";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
  दुःखको कुरा;"मिस्ट' नामक कम्प्युटर गेम कहिल्यै सार्वजनिक गरिएन। 
के यो आधारमा परिकल्पनालाई समावेश गरिएको छ?  
हो वा होइन भन्ने बीचमा छनौट गर्नुहोस्। 
उत्तर:  
नहीं"
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
